team_name,total_experience_sum,matches_played,total_players_considered,average_experience
Global,114743,148,1776,64.6075
Chennai Super Kings,7438,14,168,44.2738
Delhi Capitals,11608,14,168,69.0952
Gujarat Titans,16452,17,204,80.6471
Kolkata Knight Riders,11223,14,168,66.8036
Lucknow Super Giants,9171,14,168,54.5893
Mumbai Indians,13082,14,168,77.869
Punjab Kings,10639,14,168,63.3274
Rajasthan Royals,11351,16,192,59.1198
Royal Challengers Bengaluru,16179,16,192,84.2656
Sunrisers Hyderabad,7600,15,180,42.2222
